Subject,University,Semester ,Exam,Marks,Concept,Question,Has_Code,Code_Snippet,Diagram
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,Switch Case,"Assuming that x=2, y=1 and z=0 initially, what will be their values after executing the following code segments?",YES,"switch(x)
{
    case 2:
        x=1;
        y=x+1;
    case 1:
        x=0;
        break;
    default:
        x=1;
        y=0;
}",
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,File Handling,What is the difference between text file and unformatted (binary) data file?,No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,Functions,How can we use a macro instead of a function? Give an example.,No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,3,Pointers,Explain about pointers and write the use of pointers in arrays with a suitable example.,No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,2,Data Structures,What is a data structure? Why is an array called a data structure?,No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,3,Array, Write output of the following program.,Yes,"int main () {
    int i, j, n=10;
    int num[] = { 1, 2, 3, 4, 1, 2, 3, 4, 8, 9};
    for ( i=1; i<=n; i++) {
        if (num[i] %2 ==0 && i%2==0){
            printf(""%d "", num [i]);   }
    }
}",
Structured Programming,Sylhet Engineering College,2021,Semester Final,3,2D Array,How to declare a two-dimensional array in C? How to pass an array from the main function to another function?,No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,2,Array,What is the difference between string and array?,No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,2,Variables,Differentiate between local and global variable.,No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,Functions,"Which of the following prototype declarations are invalid? Why?
 
i. int (fun) void;
ii. double fun (void )
iii. float fun (x, y, n);
iv. int fun (int a, b);",No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,2,Functions,Write down the difference between call by value and call by reference with an example for each.,No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,2,Functions,Determine the output of the following program? ,Yes,"int prod(int m, int n);
main()
{
    int x = 10, y = 20, q, q;
    p= prod(x, y);
    q= prod(p, prod(x, y));
    printf(""%d %d \n"", p, q);
}
int prod( int a, int b)
{
    return (a*b);
}",
Structured Programming,Sylhet Engineering College,2021,Semester Final,3,keyword,"Explain the meaning and purpose of the following:
 
i. struct keyword 
ii. typedef keyword
iii. sizeof operator",No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,Pointers, What is the output of the following program?,Yes,"1. 
int m[2];
*(m+1) = 100;
*m = *(m+1);
printf(""%d"", m[0]);


2. 
int m[2];
int *p = m;
m[0] = 100;
m[1] = 200;
printf(""%d %d"", ++*p, *p);
",
Structured Programming,Sylhet Engineering College,2021,Semester Final,3,Pointers,"Given below are two different definitions of the function search()
1.Are they equivalent? Explain.",Yes,"1. 
void search (int* m[], int x)
{
}

2.
void search (int** m[], int x)
{
}
",
Structured Programming,Sylhet Engineering College,2021,Term Test-01,5,Conditional Statement,What are the types of decision making and branching in C?,No,,
Structured Programming,Sylhet Engineering College,2021,Term Test-01,5,Operators,Determine Output: ,Yes,"1. 
void main()
{
    int i=0, j=1, k=2, m;
    m = i++ || j++ || k++;
    printf(""%d %d %d %d"", m, i, j, k);
}

2. 
void main()
{
    int i=10;
    i = !i>14;
    printf(""i=%d"", i);
}
",
Structured Programming,Sylhet Engineering College,2021,Term Test-01,5,Switch Case,What will be the result of given code? ,Yes,"1. 
main(){
    int i=3;
    switch(i){
        default:printf(""zero"");
        case 1: printf(""one"");
            break;
        case 2:printf(""two"");
            break;
        case 3: printf(""three"");
            break;
    }
}

2. 
main(){
    int i = 1;
    int j = 2;
    switch(i){
        case 1: printf(""one"");
            break;
        case j: printf(""two"");
            break;
    }
}
",
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,Type Casting,"What is type casting? A C program contains the following declarations and initial assignments:

int i = 10, j = 15; 
float x = 0.005, y = -0.025;
 char c = 'c', d = 'd';

Find values after every expression. 
a)  (4*i*j)%(d*c)b) - (i+j), i%=je) i+=(j-3)",Yes,"int i = 10, j = 15; 
float x = 0.005, y = -0.025;
char c = 'c', d = 'd';",
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,Format Specifiers,Write output of the following program segment.,Yes,"void main(){
    int a = 17, b = 127;
    double x = 123.45678901234;
    char c = 'A';
    printf(""a: %d\n"", a);
    printf(""b: %d\n"", b);
    printf(""x: %d\n"", x);
    printf(""x: %.4lf\n"", x);
    printf(""a: %.4lf\n"", a);
    printf(""\n"");
    printf(""c: %d\n"", c);
    printf(""c: %c\n"", c); }",
Structured Programming,Sylhet Engineering College,2021,Semester Final,3,Array,Write output of the following program,Yes,"void main () {
    int i, j, n=10;
    int num[] = { 1, 2, 3, 4, 1, 2, 3, 5, 7, 8};
    for ( i=1; i<=n; i++) {
        if (num[i] %2 == 0 && i%2==0){
            printf(""%d"", num [i]); }
    }
}",
Structured Programming,Sylhet Engineering College,2021,Semester Final,3,Conditional Statement,"Write the structure of else-if-else ladder. Write the meaning of following Backslash character constants. \b, \f, \a, \r, \v, \\",No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,Switch Case,Write output of the following program,Yes,"#include<stdio.h>
void main(){
    int i=4;
    switch(i){
        default:
            printf(""Friday\n"");
        case 1:
            printf(""Saturday\n"");
            break;
        case 2:
            printf(""Sunday\n"");
            break;
        case 4:
            printf(""Tuesday\n"");
            break;} }",
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,Nested Loop,Write output of the following program,Yes,"#include <stdio.h>
int main(){
    int a=3,b=1,i,j;
    for(i=1;i<19;i+=5){
        if(i%2==0)   continue;
        for(j=7;j>-1;j--){
            if(j%4==0)   break;
            a+=i+j;
        }
    }
    printf(""%d %d %d\n"",i,j,a);
}",
Structured Programming,Sylhet Engineering College,2021,Semester Final,2,Array,Write a c program that will take five(5) values from keyboard and display total of these values using array.,No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,2,Jump Statement,What is the difference between break and continue statement. ,No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,String," Suppose s1[]=""Sylhet Engineering College"", s2[]=""Students"", s3[6], write down the output from the following : 

(i) s5[]=strcat(s1,s2) 
(ii) strlen (s2) 
(iii) strcpy (s3, s1) 
(iv) strcmp (s1,s2). [",Yes," s1[]=""Sylhet Engineering College"",
 s2[]=""Students"",
 s3[6],",
Structured Programming,Sylhet Engineering College,2021,Semester Final,2,Conditional Statement,"Write a program to scan two integer numbers. If first number is greater than second add them otherwise multiply. Show resultant number.
Input: 4 5      Output: 20
Input: 5 2      Output: 7",No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,Functions,Write output of the following program.,Yes,"int add(int a, int b){
    return a + b; }
int sub(int a, int b){
    return a - b; }
int avg(int a, int b){
    return (a + b) / 2; }

void main(){
    int r;
    r = sub(avg(4,6), add(add(3,4), avg(4,5)));
    printf(""%d"", r);
}",
Structured Programming,Sylhet Engineering College,2021,Semester Final,6,Functions,"The skeletal structure of a c program is shown below.

(i) What kind of argument is passed to funct?
(ii) What kind of information is returned by funct?
(iii) What kind of formal argument is defined within funct?
(iv) What is the purpose of the for loop that appears within funct?
(v) What value is displayed by the printf statement within funct",No,"void funct (int p);
main(){
    int a[5] = {1, 2, 3, 4, 5};
    ...
    funct(a);
    --- }

void funct(int p){
    int i, sum=0;
    for(i=0; i<5; i++)
        Sum+=(p+i);
    printf(""Sum=%d"", sum);
    return; }",
Structured Programming,Sylhet Engineering College,2021,Semester Final,3,Pointers,What are the advantages of using pointer in a program? ,No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,2,Pointers,Determine the output of the following programs. ,Yes,"Programe 1:
int *s,d,*b; d=10; printf(""%d"",s); *b=25;
printf(""%d"",b);
Write down the output for the above two printf statement.


Programe 2:
#include <stdio.h>
void main() {
    int a=5,c=6,*b;
    b = &a;
    printf(""%d  %X  %X  %d\n"",a,&a,b,*b);
    b = &c;
    printf(""%d  %X  %X  %d\n"",c,&c,b,*b); }
",
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,Pointers,Find the output of the following program segment.,Yes,"#include <stdio.h>
const int MAX = 3;
void main () {
    int var[] = {10, 100, 200};
    int i, *ptr[MAX];
    for ( i = 0; i < MAX; i++) {
        ptr[i] = &var[i]; }
    for ( i = 0; i < MAX; i++) {
        printf(""Value of var[%d] = %d\n"", i, *ptr[i] );
    }
}",
Structured Programming,Sylhet Engineering College,2021,Semester Final,1,Structure,What is the difference between structure and union?,No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,3,Structure ,Write output of the following program. ,Yes,"#include <stdio.h>

struct laptop {
    int cost;
    char brand[10];
};

int main() {
    struct laptop L1, L2;
    L1.cost=5000;
    strcpy(L1.brand, ""ACER"");
    L2.cost=6000;
    strcpy(L1.brand, ""IBM"");
    printf(""Name=%s"",L1.brand); }",
Structured Programming,Sylhet Engineering College,2021,Semester Final,2,Union,Determine the output of the following program.,Yes,"#include <stdio.h>
union test {
    int x, y;
};
void main(){
    union test t;
    t.x = 200;
    printf(""x = %d, y = %d\n"", t.x, t.y);
    t.y = 100;
    printf(""x = %d, y = %d\n"", t.y, t.x);
}",
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,Structure,Determine the output of the following program.,Yes,"#include <stdio.h>
struct person{
    int age;
    float weight;
};
void main(){
    struct person *personPtr, person1;
    personPtr = &person1;
    
    printf(""Enter age: "");
    scanf(""%d"", &personPtr->age);
    printf(""Enter weight: "");
    scanf(""%f"", &personPtr->weight);
    printf(""Displaying \n"");
    printf(""Age: %d\n"", personPtr->age);
    printf(""weight: %f"", personPtr->weight);
}",
Structured Programming,Sylhet Engineering College,2021,Semester Final,2,File Handling,"Write the meaning of following modes in file operation: 
wb+, 
w+,
 a+, 
r+",No,,
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,File Handling,"Which of the following statements are correct about the program? If not, explain and make a correction of it. ",Yes,"#include<stdio.h>
void main(){
    char ch;
    fp = fopen(""one.txt"", w);
    printf(""Enter data..."");
    while((ch = getchar()) != EOF) {
        put(ch, fp); }
    fp = fopen(""one.txt"");
    while((ch = getc(fp) != EOF)
        printf(""%c"",ch); }",
Structured Programming,Sylhet Engineering College,2021,Semester Final,4,Functions,"Describe following high level I/O functions: 
fseek(),
 ftell(),
rewind(), 
fscanf()",No,,
Structured Programming,Leading University,Spring 2023,Mid Term ,2.5,Error,What is the difference between Logical error and Semantic error? Explain with example.,No,,
Structured Programming,Leading University,Spring 2023,Mid Term ,2.5,Loops,Explain infinite loop & nested switch with example.,No,,
Structured Programming,Leading University,"
         
Spring 2023",Mid Term ,3,Jump Statement,"What is the different between break, continue and goto? (Code required)",No,,
Structured Programming,Leading University,"
         
Spring 2023",Mid Term ,2,Loops,"Find the error, if any, in the following program or write the output",Yes,"#include<stdio.h>
int main()
{
    int j=1;
    while()
    {
        printf(""%d\n"", j++);
        if(j>5)
            break;
    }
    return 0;
}",
Structured Programming,Leading University,"
         
Spring 2023",Mid Term ,2.5,Operators, Write down the name of C operator with example.,No,,
Structured Programming,Leading University,"
         
Spring 2023",Mid Term ,2.5,Functions,Describe the input & output function of C language with proper code.,No,,
Structured Programming,Leading University,"
         
Spring 2023",Mid Term ,2.5,Functions,What is the difference between user define function and library function? Explain with proper C-program,No,,
Structured Programming,Leading University,"
         
Spring 2023",Mid Term ,2.5,Switch Case,"Find the error, if any, in the following program or write the output.",Yes,"
#include<stdio.h>
int main()
{
    int P = 10;
    switch(P)
    {
case 10:
    printf(""Case 1"");

case 20:
    printf(""Case 2"");
    break;

case P:
    printf(""Case 2"");
    break;
}
return 0;
}

",
Structured Programming,Leading University,"
         
Spring 2023",Mid Term ,3,Loops," Write down the difference between pre, post and per tested loop with proper C-program.",No,,
Structured Programming,Leading University,"
         
Spring 2023",Mid Term ,2,Loops,Find the output of the following program:,Yes,"
#include<stdio.h>
int main()
{
int a=5;
do
{
printf(""%d\n"",a);
a= -1;
}while (a>0);
return 0;
}",
Structured Programming,Leading University,"
         
Spring 2023",Mid Term ,2.5,Functions,Find the output of the following program:,Yes,"
#include<stdio.h>
int function1(int k);

int main()
{
    int k = 30;
    k = function1(k);
    printf(""k=%d\n"",k);
    return 0;
}
int function1(int k)
{
    k++;
    return k;
}
",
Structured Programming,Leading University,"
         
Spring 2023",Mid Term ,2.5,Functions,What is actual & formal parameter? Write a C program with parameter using function.,No,,
Structured Programming,Leading University,"
         
Spring 2023",Mid Term ,2.5,Nested Loop,Write a C program to print the following pattern.,No,,
Structured Programming,Leading University,"
         
Spring 2023",Mid Term ,3,Functions,Distinguish the difference between call by value and call by reference with a proper C-program.,No,,
Structured Programming,Leading University,"
         
Spring 2023",Mid Term ,2,Variables,What is the difference between local & global variable? Explain with proper C-program.,No,,
Structured Programming,Leading University,"
         
Spring 2023",Semester Final,5,Recursion,"Find the error, if any, in the following program or write the output.",Yes,"
#include <stdio.h>
void print(int x){
   if(x == 0){
   return;
   }
   --x;
   printf(""%d\n"",x);
   print(x);
}
int main(){
   print(5);
}
",
Structured Programming,Leading University,"
         
Spring 2023",Semester Final,5,Array,Write a C program to store 5 integer elements in an array and print the reverse order.,No,,
Structured Programming,Leading University,"
         
Spring 2023",Semester Final,5,Array,"Find the error, if any, in the following program or write the output.",Yes,"
#include <stdio.h>
int main() {
   char array[1];
   array[1]= 'a';
   printf(""%s"", array);
   return 0;
}",
Structured Programming,Leading University,"
         
Spring 2023",Semester Final,5,Pointers,Why we use pointer in C? Define NULL pointer. Explain with proper C code.,No,,
Structured Programming,Leading University,"
         
Spring 2023",Semester Final,5,Pointers,"Find the error, if any, in the following program or write the output.",Yes,"
#include <stdio.h>
void swap(int * num1, int * num2);
int main()
{
    int num1, num2;
    scanf(""%d %d"", &num1, &num2);
    swap(&num1, &num2);
    printf(""%d %d\n"", num1, num2);
    return 0;
}
void swap(int num1, int num2)
{
    int temp;
    temp = *num1;
    *num1 = *num2;
    *num2 = temp;
    printf(""%d %d\n"", *num1, *num2);
}
",
Structured Programming,Leading University,"
         
Spring 2023",Semester Final,5,String,Is it possible to use string data type in C directly? Justify your answer with valid C code.,No,,
Structured Programming,Leading University,"
         
Spring 2023",Semester Final,5,String,"Find the error, if any, in the following program or write the output.",Yes,"
#include <stdio.h>
int main() {
    char array[]=""Leading"";
    printf(""%d\n"", sizeof(array));
    printf(""%d"", strlen(array));
    return 0;
}
",
Structured Programming,Leading University,"
         
Spring 2023",Semester Final,5,Variables,What is the difference between normal variable & structure? Give an example,No,,
Structured Programming,Leading University,"
         
Spring 2023",Semester Final,5,Structure,"Find the error, if any, in the following program or write the output.",Yes,"
#include <stdio.h>
#include <string.h>
int main() {
    struct create{
        int v1;
        char str[50];
    }b1, b2;
    b1.v1=30;
    strcpy(b1.str, ""Identify the error"");
    print(b1);
    return 0;
}
void print(struct create b3) {
    printf(""%d\n %s\n"", b3.v1, b3.str);
}
",
Structured Programming,Leading University,"
         
Spring 2023",Semester Final,5, C++,Explain the following C++ program.,Yes,"
#include <iostream>
using namespace std;
int main() {
    int age;
    cout << ""Enter your age: "";
    cin >> age;
    cout << ""Your age is: "" << age << endl;
}
",
Structured Programming,Leading University,Fall 2023,Mid Term ,2,Type Casting,Trace the output of the following C program,Yes,"
#include<stdio.h>
int main()
{
    int a[5] = {1,2,3,4,5};

    for (int i = 0; i < 5; i++) {
        if ((char)a[i] == '5') {
            printf(""%d\n"", a[i]);
        }
        else {
            printf(""FAIL\n"");
        }
    }
    return 0;
}
",
Structured Programming,Leading University,Fall 2023,Mid Term ,3,Conditional Statement," Mr. Boltu loves playing cricket. There is a cricket match at Leading University. Boltu's team 
requires N runs to win in M overs. Given that, 1 over consists of 6 balls and a player can score 
a maximum of 6 runs in a ball, find whether Boltu's team can win. The input will consist of N 
and M, where-

• N means the number of runs required to win the game.
• M means the remaining number of overs.

Sample Input:
216 6
100 2

Sample Output:
Yes
No",No,,
Structured Programming,Leading University,Fall 2023,Mid Term ,2,Loops, There may be some error(s) in the following C program. Correct all the error(s) and rewrite it.,Yes,"
#include<studio.h>
int main()
{
    int arr[10] = (1, 2, 3, 4, 5)
    for(int i=0; i<5; i++) {
        printf(""%d\n"", arr(i);
    }
    return
}
",
Structured Programming,Leading University,Fall 2023,Mid Term ,3,Identifiers,Describe Identifier and Keyword. What are the rules for identifier names? Briefly explain with examples.,No,,
Structured Programming,Leading University,Fall 2023,Mid Term ,2,Loops,Briefly explain the difference between while and do_while (code required).,NO,,
Structured Programming,Leading University,Fall 2023,Mid Term ,3,Conditional Statement,"Take 3 numbers A, B and C as input. Write a C program to find the second largest among them.",NO,,
Structured Programming,Leading University,Fall 2023,Mid Term ,2,Conditional Statement," Suppose, you have N candies. You want to distribute them to exactly M of your friends such 
that each friend gets an equal number of candies. Determine whether it is possible to do so. 
NOTE: You can't take any candies for yourself though you are the owner of these candies. 
You have to distribute all the candies.

Sample Input:
9 3
8 3

Sample Output:
Yes
No
",No,,
Structured Programming,Leading University,Fall 2023,Mid Term ,3,Array,What data structure would you use to store a fixed-sized amount of the same data types? And why?,NO,,
Structured Programming,Leading University,Fall 2023,Mid Term ,2,Switch Case,"b. Justify your answer for the following statements:

   • Could the type of the expression be a float or a double in switch case?
   • Is duplicate case possible in the switch case?
   • puts(mark >= 40 ? ""Passed"" : ""Failed"");",NO,,
Structured Programming,Leading University,Fall 2023,Mid Term ,2,Operators,Trace the output of the following C program-,Yes,"
#include <stdio.h>
int main()
{
    int a = -1,b = -a;
    int x,y;

    x = (a> 0) && (b < 0) || (a< 0) && (b > 0);
    y = (a<= 0) || (b >= 0) && (a>= 0) || (b <= 0);

    printf(""%d\n"",x == y);

    return 0;
}
",
Structured Programming,Leading University,Fall 2023,Mid Term ,3,Jump Statement,"What are the differences between break, continue and goto? (Code required)",No,,
Structured Programming,Leading University,Fall 2023,Mid Term ,2,Data Types,"Write the byte size (memory), range and format specifier of the following data types.

   • int
   • unsigned int
   • double
   • char
",No,,
Structured Programming,Leading University,Fall 2023,Mid Term ,3,Loops," Implement two C programs to do the following tasks:

   • Print all the even numbers from 120 to 520.
   • Print all the multiples of 11 from 13 to 1000.
",No,,
Structured Programming,Leading University,Fall 2023,Mid Term ,5,Conditional Statement,"Mr. Goltu bought car insurance. The policy of the insurance is:
• The maximum rebatable amount for any damage is Tk X lakhs.
• If the amount required for repairing the damage is <= X lakhs, that amount is rebated in full.

Goltu's car meets an accident and requires Tk Y lakhs for repairing. As he is in hospital and 
surviving on the death table, he wants you to help him by determining the amount that will be 
rebated by the insurance company.

Input Format
• The line contains two space separated integers X and Y.

Output Format
Output the amount (in lakhs) that will be rebated by the insurance company.

Sample Input:
5 3
4 4

Sample Output:
3
4",No,,
Structured Programming,Leading University,Fall 2023,Semester Final,1,2D Array, What are the common usages of a 2D array?,No,,
Structured Programming,Leading University,Fall 2023,Semester Final,4,Array,Write a program in C to find out the search index element from a given array.,No,,
Structured Programming,Leading University,Fall 2023,Semester Final,2,C++ ,What are the differences between C and C++?,No,,
Structured Programming,Leading University,Fall 2023,Semester Final,3,Functions,Briefly explain Call by value and Call by reference with proper examples.,No,,
Structured Programming,Leading University,Fall 2023,Semester Final,2,Structure," How to declare, define, and access structure members?",No,,
Structured Programming,Leading University,Fall 2023,Semester Final,3,Recursion,"""All the recursions are function, but all the functions are not"". Give your opinion by showing a proper example.",No,,
Structured Programming,Leading University,Fall 2023,Semester Final,2,String,Write the output of the following program.,Yes,"
#include <stdio.h>
#include <string.h>

int main() {
    char str1[15] = ""Leading"";
    char str2[15] = ""University"";
    char str3[30];
    printf(""Length of str1 is %d\n"", strlen(str1));
    strcpy(str3, str1);
    printf(""%s\n"", str3);
    strcat(str3, str2);
    printf(""%s\n"", str3);
    return 0;
}
",
Structured Programming,Leading University,Fall 2023,Semester Final,3,Pointers,Write a C program to reverse an array using pointers.,No,,
Structured Programming,Leading University,Fall 2023,Semester Final,2,Functions,Differentiate user-defined functions and library functions with examples.,No,,
Structured Programming,Leading University,Fall 2023,Semester Final,3,Structure," Write a C program that will read the information (i.e. name, id, cgpa) of 10 
students from the user and will print the name and id of the student who got 
the highest cgpa. You can assume that the structure will look like the 
following-",Yes,"
    struct studentInfo{
        char name[20];
        int id;
        float cgpa;
    }
",
Structured Programming,Leading University,Fall 2023,Semester Final,2,Pointers, What is a pointer? State some advantages of the pointer.,No,,
Structured Programming,Leading University,Fall 2023,,3,Recursion,How recursion works? Explain with proper examples.,No,,
Structured Programming,Leading University,Fall 2023,Semester Final,2,Structure,Why do we need Structure in C?,No,,
Structured Programming,Leading University,Fall 2023,Semester Final,3,Variables, What are the properties of local and global variables?,Yes,,
Structured Programming,Leading University,Fall 2023,Semester Final,2,C++,Briefly explain the different components of a C++ code.,No,,
Structured Programming,Leading University,Fall 2023,Semester Final,3,Operators,Write a C++ program that converts meters to feet where the measurement will be taken as input from the user.,No,,
Structured Programming,Leading University,Fall 2023,Semester Final,2,Pointers,How to use reference and dereference operators in C?,No,,
Structured Programming,Leading University,Fall 2023,Semester Final,3,String,"b. Write a C program to check whether a given string is palindrome or not. (ignore the case)

Sample Input 1:
Madam
Sample Output 1:
Madam is Palindrome

Sample Input 2:
Leading University
Sample Output 2:
Leading University is not a Palindrome",No,,
Structured Programming,Leading University,Fall 2023,,1,Variables, What do you mean by the scope of a variable?,No,,
Structured Programming,Leading University,Fall 2023,Semester Final,4,Recursion,Write a C program to find the sum of digits of a given number using recursion.,No,,
Structured Programming,Leading University,Fall 2024,Semester Final,2,Switch Case,"What is the role of the ""break"" statement in a switch case? What happens if a ""break"" statement is omitted after a case?",No,,
Structured Programming,Leading University,Fall 2024,Semester Final,5,Loops,"Write a guessing game where the program randomly selects a number between 1 and 100, and the user has to guess it. Use a while loop to keep asking for guesses until the user gets it right.",No,,
Structured Programming,Leading University,Fall 2024,Semester Final,3,Loops,What will be the output of the below program?,Yes,"
#include<stdio.h>
int main()
{
    int i=1;
    for(;;)
    {
        printf(""%d\n"", i);
        i++;
        if(i>10)
            break;
    }
    return 0;
}
",
Structured Programming,Leading University,Fall 2024,Semester Final,2.5,Error,What is the difference between compile time error and runtime error?,No,,
Structured Programming,Leading University,Fall 2024,Semester Final,2.5,Switch Case,"Point out the error, if any in the program or what will be the output?",Yes,"#include<stdio.h>
int main()
{
    int a = 10;
    switch(a)
    {
    }
    printf(""Practice, Practice and Practice"");
    return 0;
}
",
Structured Programming,Leading University,Fall 2024,,5,Functions,What will be the output of the below program?,Yes,"
#include<stdio.h>
int reverse(int);
int main(){
   int no = 5;
   reverse(no);
   return 0;
}
int reverse(int no){
   if(no == 5){
      no--;
      for(int x = -1; x <= no; x++){
         if(x < 4)
            continue;
         else
            printf(""LU"");
            break;
      }
   }
   else
      printf(""%d"", no);

   return 0;
}",
Structured Programming,Leading University,Fall 2024,Semester Final,5,Nested Loop,What will be the output of the below program?,Yes,"
#include <stdio.h>
int main()
{
    int rows = 5;
    for (int i = 0; i < rows; i++) {
        for (int j = 0; j < 2 * (rows - i) - 1; j++) {
            printf("" "");
        }
        for (int k = 0; k < 2 * i + 1; k++) {
            printf(""* "");
        }
        printf(""\n"");
    }
    return 0;
}
",
Structured Programming,Leading University,Fall 2024,Semester Final,5,Loops,What is the difference between a while loop and a do-while loop in C? Explain with C program. Is it possible to use global variables in a loop?,No,,
Structured Programming,Leading University,Spring 2025,Mid Term,3,Loops,Rewrite the following program using a for loop instead of a while loop.,Yes,"
#include <stdio.h>
int main() {
    int num = 5;
    while (num <= 50) {
        printf(""%d "", num);
        num += 5;
    }
    return 0;
}
",
Structured Programming,Leading University,Spring 2025,Mid Term,4,Loops,"Analyze the output of the following loop and state how many times the loop
will execute with proper simulation.",Yes,"
#include <stdio.h>
int main() {
    int i, j;
    for (i = 1, j = 10; i <= j; i += 2, j -= 2) {
        printf(""%d %d\n"", i, j);
    }
    return 0;
}
",
Structured Programming,Leading University,Spring 2025,Mid Term,3,Switch Case," If this code has errors, explain the reasons; otherwise, write the output.",Yes,"
#include <stdio.h>
int main() {
    int i;
    for(i = 1; i <= 4; i++) {
        switch(i) {
            case 1:
                printf(""Today is difficult.\n"");
                break;
            case 2:
                printf(""Tomorrow is much more difficult.\n"");
                break;
            case 3:
                printf(""\n"");
                break;
            case 4:
                printf(""But day after tomorrow is beautiful.\n"");
                break;
            default:
                printf(""Most people die tomorrow evening.\n"");
        }
    }
    return 0;
}",
Structured Programming,Leading University,Spring 2025,Mid Term,3,Compilation Process,Draw the compilation process of a C program by a diagram.,No,,
Structured Programming,Leading University,Spring 2025,Mid Term,4,Operators,What will be the output of the following C code? Explain the reason behind the output.,Yes,"
#include <stdio.h>
int main() {
    int a = 5, b = 2, c;
    c = a++ * --b + b++ - --a;
    printf(""%d %d %d\n"", a, b, c);
    return 0;
}
",
Structured Programming,Leading University,Spring 2025,Mid Term,3,Loops,"Write a program to find the reverse of a given number (e.g., input: 1234, output: 4321). Also, identify the main difference between while and do while loop.",No,,
